Prompt,Threshold,Detections,Average Confidence,Maximum Confidence,Minimum Confidence,Variance,Inference Time
phone,0.1,5,0.32,0.418,0.215,0.005,17.282
phone,0.2,5,0.32,0.418,0.215,0.005,15.738
phone,0.3,3,0.37,0.418,0.317,0.002,15.218
phone,0.4,1,0.418,0.418,0.418,0.0,14.901
phone,0.5,0,0.0,0.0,0.0,0.0,15.337
phone,0.6,0,0.0,0.0,0.0,0.0,16.252
phone,0.7,0,0.0,0.0,0.0,0.0,15.031
phone,0.8,0,0.0,0.0,0.0,0.0,14.93
phone,0.9,0,0.0,0.0,0.0,0.0,15.705
mobile phone,0.1,5,0.285,0.368,0.201,0.003,15.184
mobile phone,0.2,5,0.285,0.368,0.201,0.003,15.317
mobile phone,0.3,2,0.343,0.368,0.318,0.001,15.399
mobile phone,0.4,0,0.0,0.0,0.0,0.0,15.852
mobile phone,0.5,0,0.0,0.0,0.0,0.0,15.517
mobile phone,0.6,0,0.0,0.0,0.0,0.0,15.559
mobile phone,0.7,0,0.0,0.0,0.0,0.0,15.515
mobile phone,0.8,0,0.0,0.0,0.0,0.0,16.588
mobile phone,0.9,0,0.0,0.0,0.0,0.0,15.625
smartphone,0.1,6,0.318,0.459,0.112,0.013,15.539
smartphone,0.2,5,0.36,0.459,0.25,0.005,15.639
smartphone,0.3,4,0.387,0.459,0.324,0.002,15.567
smartphone,0.4,2,0.43,0.459,0.402,0.001,15.733
smartphone,0.5,0,0.0,0.0,0.0,0.0,8.536
smartphone,0.6,0,0.0,0.0,0.0,0.0,15.4
smartphone,0.7,0,0.0,0.0,0.0,0.0,17.028
smartphone,0.8,0,0.0,0.0,0.0,0.0,16.108
smartphone,0.9,0,0.0,0.0,0.0,0.0,15.868
phones,0.1,6,0.401,0.524,0.136,0.017,16.178
phones,0.2,5,0.453,0.524,0.365,0.003,15.87
phones,0.3,5,0.453,0.524,0.365,0.003,15.833
phones,0.4,4,0.476,0.524,0.425,0.001,16.264
phones,0.5,1,0.524,0.524,0.524,0.0,16.165
phones,0.6,0,0.0,0.0,0.0,0.0,15.834
phones,0.7,0,0.0,0.0,0.0,0.0,15.925
phones,0.8,0,0.0,0.0,0.0,0.0,15.771
phones,0.9,0,0.0,0.0,0.0,0.0,15.667
black mobile phone,0.1,6,0.319,0.486,0.106,0.014,15.868
black mobile phone,0.2,5,0.362,0.486,0.242,0.006,15.6
black mobile phone,0.3,4,0.392,0.486,0.327,0.003,15.605
